"Year","State","Race","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Alabama","White","37","304,804","12.14","--","1,845"
"2023","Alabama","Black","10**","136,207","7.34**","--","503"
"2023","Alabama","American Indian / Alaska Native","0**","3,329","0.00**","--","--"
"2023","Alabama","Asian","--","6,779","--","--","--"
"2023","Alabama","HI Native / Pacific Islander","0**","793","0.00**","--","--"
"2023","Alabama","More than One Race","--","16,328","--","--","--"
"2023","Alaska","White","--","36,824","--","--","--"
"2023","Alaska","Black","0**","2,092","0.00**","--","--"
"2023","Alaska","American Indian / Alaska Native","--","13,978","--","--","--"
"2023","Alaska","Asian","0**","3,879","0.00**","--","--"
"2023","Alaska","HI Native / Pacific Islander","0**","1,585","0.00**","--","--"
"2023","Alaska","More than One Race","--","9,747","--","--","--"
"2023","Arizona","White","37","517,761","7.15","--","1,812"
"2023","Arizona","Black","--","45,319","--","--","--"
"2023","Arizona","American Indian / Alaska Native","--","45,997","--","--","--"
"2023","Arizona","Asian","0**","24,564","0.00**","--","--"
"2023","Arizona","HI Native / Pacific Islander","0**","2,169","0.00**","--","--"
"2023","Arizona","More than One Race","--","38,496","--","--","--"
"2023","Arkansas","White","21","217,247","9.67","--","1,026"
"2023","Arkansas","Black","--","51,245","--","--","--"
"2023","Arkansas","American Indian / Alaska Native","0**","3,399","0.00**","--","--"
"2023","Arkansas","Asian","0**","4,801","0.00**","--","--"
"2023","Arkansas","HI Native / Pacific Islander","--","2,252","--","--","--"
"2023","Arkansas","More than One Race","0**","12,061","0.00**","--","--"
"2023","California","White","108","2,528,822","4.27","--","5,306"
"2023","California","Black","10**","229,920","4.35**","--","500"
"2023","California","American Indian / Alaska Native","--","72,950","--","--","--"
"2023","California","Asian","22","479,568","4.59","--","1,078"
"2023","California","HI Native / Pacific Islander","--","19,084","--","--","--"
"2023","California","More than One Race","25","250,259","9.99","--","1,226"
"2023","Colorado","White","44","427,192","10.30","--","2,154"
"2023","Colorado","Black","--","26,756","--","--","--"
"2023","Colorado","American Indian / Alaska Native","--","9,946","--","--","--"
"2023","Colorado","Asian","--","17,346","--","--","--"
"2023","Colorado","HI Native / Pacific Islander","--","1,371","--","--","--"
"2023","Colorado","More than One Race","--","31,254","--","--","--"
"2023","Connecticut","White","--","230,020","--","--","--"
"2023","Connecticut","Black","--","48,853","--","--","--"
